Name,Year,Genre,Platform,Publisher,Global_Sales
Wii Sports,2006.0,Sports,Wii,Nintendo,82.74
Super Mario Bros.,1985.0,Platform,NES,Nintendo,40.24
Mario Kart Wii,2008.0,Racing,Wii,Nintendo,35.82
Wii Sports Resort,2009.0,Sports,Wii,Nintendo,33.0
Pokemon Red/Pokemon Blue,1996.0,Role-Playing,GB,Nintendo,31.37
Tetris,1989.0,Puzzle,GB,Nintendo,30.26
New Super Mario Bros.,2006.0,Platform,DS,Nintendo,30.01
Wii Play,2006.0,Misc,Wii,Nintendo,29.02
New Super Mario Bros. Wii,2009.0,Platform,Wii,Nintendo,28.62
Duck Hunt,1984.0,Shooter,NES,Nintendo,28.31
Nintendogs,2005.0,Simulation,DS,Nintendo,24.76
Mario Kart DS,2005.0,Racing,DS,Nintendo,23.42
Pokemon Gold/Pokemon Silver,1999.0,Role-Playing,GB,Nintendo,23.1
Wii Fit,2007.0,Sports,Wii,Nintendo,22.72
Wii Fit Plus,2009.0,Sports,Wii,Nintendo,22.0
Kinect Adventures!,2010.0,Misc,X360,Microsoft Game Studios,21.82
Grand Theft Auto V,2013.0,Action,PS3,Take-Two Interactive,21.4
Grand Theft Auto: San Andreas,2004.0,Action,PS2,Take-Two Interactive,20.81
Super Mario World,1990.0,Platform,SNES,Nintendo,20.61
Brain Age: Train Your Brain in Minutes a Day,2005.0,Misc,DS,Nintendo,20.22
Pokemon Diamond/Pokemon Pearl,2006.0,Role-Playing,DS,Nintendo,18.36
Super Mario Land,1989.0,Platform,GB,Nintendo,18.14
Super Mario Bros. 3,1988.0,Platform,NES,Nintendo,17.28
Grand Theft Auto V,2013.0,Action,X360,Take-Two Interactive,16.38
Grand Theft Auto: Vice City,2002.0,Action,PS2,Take-Two Interactive,16.15
Pokemon Ruby/Pokemon Sapphire,2002.0,Role-Playing,GBA,Nintendo,15.85
Pokemon Black/Pokemon White,2010.0,Role-Playing,DS,Nintendo,15.32
Brain Age 2: More Training in Minutes a Day,2005.0,Puzzle,DS,Nintendo,15.3
Gran Turismo 3: A-Spec,2001.0,Racing,PS2,Sony Computer Entertainment,14.98
Call of Duty: Modern Warfare 3,2011.0,Shooter,X360,Activision,14.76
Pokémon Yellow: Special Pikachu Edition,1998.0,Role-Playing,GB,Nintendo,14.64
Call of Duty: Black Ops,2010.0,Shooter,X360,Activision,14.64
Pokemon X/Pokemon Y,2013.0,Role-Playing,3DS,Nintendo,14.35
Call of Duty: Black Ops 3,2015.0,Shooter,PS4,Activision,14.24
Call of Duty: Black Ops II,2012.0,Shooter,PS3,Activision,14.03
Call of Duty: Black Ops II,2012.0,Shooter,X360,Activision,13.73
Call of Duty: Modern Warfare 2,2009.0,Shooter,X360,Activision,13.51
Call of Duty: Modern Warfare 3,2011.0,Shooter,PS3,Activision,13.46
Grand Theft Auto III,2001.0,Action,PS2,Take-Two Interactive,13.1
Super Smash Bros. Brawl,2008.0,Fighting,Wii,Nintendo,13.04
Call of Duty: Black Ops,2010.0,Shooter,PS3,Activision,12.73
Animal Crossing: Wild World,2005.0,Simulation,DS,Nintendo,12.27
Mario Kart 7,2011.0,Racing,3DS,Nintendo,12.21
Halo 3,2007.0,Shooter,X360,Microsoft Game Studios,12.14
Grand Theft Auto V,2014.0,Action,PS4,Take-Two Interactive,11.98
Pokemon HeartGold/Pokemon SoulSilver,2009.0,Action,DS,Nintendo,11.9
Super Mario 64,1996.0,Platform,N64,Nintendo,11.89
Gran Turismo 4,2004.0,Racing,PS2,Sony Computer Entertainment,11.66
Super Mario Galaxy,2007.0,Platform,Wii,Nintendo,11.52
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014.0,Role-Playing,3DS,Nintendo,11.33
Super Mario Land 2: 6 Golden Coins,1992.0,Adventure,GB,Nintendo,11.18
Grand Theft Auto IV,2008.0,Action,X360,Take-Two Interactive,11.02
Gran Turismo,1997.0,Racing,PS,Sony Computer Entertainment,10.95
Super Mario 3D Land,2011.0,Platform,3DS,Nintendo,10.79
Gran Turismo 5,2010.0,Racing,PS3,Sony Computer Entertainment,10.77
Call of Duty: Modern Warfare 2,2009.0,Shooter,PS3,Activision,10.69
Grand Theft Auto IV,2008.0,Action,PS3,Take-Two Interactive,10.57
Super Mario All-Stars,1993.0,Platform,SNES,Nintendo,10.55
Pokemon FireRed/Pokemon LeafGreen,2004.0,Role-Playing,GBA,Nintendo,10.49
Super Mario 64,2004.0,Platform,DS,Nintendo,10.42
Just Dance 3,2011.0,Misc,Wii,Ubisoft,10.26
Call of Duty: Ghosts,2013.0,Shooter,X360,Activision,10.21
Halo: Reach,2010.0,Shooter,X360,Microsoft Game Studios,9.88
Mario Kart 64,1996.0,Racing,N64,Nintendo,9.87
New Super Mario Bros. 2,2012.0,Platform,3DS,Nintendo,9.82
Halo 4,2012.0,Shooter,X360,Microsoft Game Studios,9.76
Final Fantasy VII,1997.0,Role-Playing,PS,Sony Computer Entertainment,9.72
Call of Duty: Ghosts,2013.0,Shooter,PS3,Activision,9.59
Just Dance 2,2010.0,Misc,Wii,Ubisoft,9.52
Gran Turismo 2,1999.0,Racing,PS,Sony Computer Entertainment,9.49
Call of Duty 4: Modern Warfare,2007.0,Shooter,X360,Activision,9.32
Donkey Kong Country,1994.0,Platform,SNES,Nintendo,9.3
Minecraft,2013.0,Misc,X360,Microsoft Game Studios,9.2
Animal Crossing: New Leaf,2012.0,Simulation,3DS,Nintendo,9.09
Mario Party DS,2007.0,Misc,DS,Nintendo,9.02
The Elder Scrolls V: Skyrim,2011.0,Role-Playing,X360,Bethesda Softworks,8.84
Super Mario Kart,1992.0,Racing,SNES,Nintendo,8.76
FIFA 16,2015.0,Sports,PS4,Electronic Arts,8.49
Wii Party,2010.0,Misc,Wii,Nintendo,8.49
Halo 2,2004.0,Shooter,XB,Microsoft Game Studios,8.49
Mario Party 8,2007.0,Misc,Wii,Nintendo,8.42
Pokemon Black 2/Pokemon White 2,2012.0,Role-Playing,DS,Nintendo,8.33
